Nama,No. Kad Pengenalan,Jantina,Alamat
Mohd Azlan bin Awang,080412125131,Lelaki,"No. 42, Kampung Air, Jalan Tun Fuad Stephens, 88000 Kota Kinabalu, Sabah"
Dayang Nurul binti Mohd,090822475246,Perempuan,"No. 12, Taman Jumbo, Jalan Penampang, 89500 Penampang, Sabah"
Jolius bin Justin,071015125353,Lelaki,"Lot 45, Tingkat 2, Blok B, Jalan Labuk, 90000 Sandakan, Sabah"
Fiona binti Gunting,081203495464,Perempuan,"No. 89, Kampung Likas, Jalan Tuaran, 88100 Kota Kinabalu, Sabah"
Wong Jun Jie,100214125575,Lelaki,"No. 67, Taman Hilltop, Jalan Lintas, 88300 Kota Kinabalu, Sabah"
Siti Aishah binti Abdullah,090530485682,Perempuan,"Lot 112, Tingkat 1, Blok A, Jalan Apas, 91000 Tawau, Sabah"
Elvin bin Mojikon,080618125791,Lelaki,"No. 15, Kampung Kepayan, Jalan Kobusak, 89500 Penampang, Sabah"
Sherry binti Kurup,091125475808,Perempuan,"No. 34, Taman Indah, Jalan Keningau - Tambunan, 89000 Keningau, Sabah"
Lee Kah Seng,070405495913,Lelaki,"Lot 23, Tingkat 3, Blok C, Jalan Donggongon, 89500 Penampang, Sabah"
Wong Qi Yi,080312126020,Perempuan,"No. 55, Taman Megah, Jalan Leila, 90000 Sandakan, Sabah"
Ahmad Daniel bin Sulaiman,090714486133,Lelaki,"No. 8, Kampung Baru, Jalan Sibuga, 90700 Sandakan, Sabah"
Nurul Izzah binti Ismail,100902126242,Perempuan,"No. 76, Taman Sentosa, Jalan Kuhara, 91000 Tawau, Sabah"
Deondre bin Gimbang,080521476357,Lelaki,"Lot 90, Tingkat 4, Blok D, Jalan Merotai, 91100 Tawau, Sabah"
Olivia binti Kinsik,091211496468,Perempuan,"No. 101, Kampung Pasir Putih, Jalan Pegalan, 89000 Keningau, Sabah"
Chan Wei Lun,070827126579,Lelaki,"No. 3, Taman Vista, Jalan Tenom, 89000 Keningau, Sabah"
Lee Mei Ting,081119486686,Perempuan,"No. 24, Kampung Penampang Proper, Jalan Bundusan, 89500 Penampang, Sabah"
Muhammad Syahmi bin Yusof,090108126797,Lelaki,"Lot 14, Tingkat 2, Blok A, Jalan Coastal, 88000 Kota Kinabalu, Sabah"
Puteri Balqis binti Ibrahim,100416476902,Perempuan,"No. 98, Taman Seri Borneon, Jalan KK Bypass, 88000 Kota Kinabalu, Sabah"
Rayner bin Sedomon,080905497015,Lelaki,"No. 57, Kampung Bunduon, Jalan Ranau - Tuaran, 89200 Tuaran, Sabah"
Brenda binti Marcus,090228127124,Perempuan,"Lot 62, Tingkat 1, Blok C, Jalan Sulaman, 89200 Tuaran, Sabah"
Lim Jia Lok,070614487235,Lelaki,"No. 120, Taman Seri Anggerik, Jalan Berungis, 89200 Tuaran, Sabah"
Chan Xin Yi,081030127348,Perempuan,"No. 41, Kampung Kolopis, Jalan Kundasang, 89300 Ranau, Sabah"
Awangku Syazwan bin Osman,090317477459,Lelaki,"Lot 83, Tingkat 3, Blok B, Jalan Ranau Bypass, 89300 Ranau, Sabah"
Sharifah Aminah binti Hamid,100722497566,Perempuan,"No. 64, Kampung Baru Luyang, Jalan Tamparuli, 89300 Ranau, Sabah"
Murphy bin Andu,081109127673,Lelaki,"No. 9, Taman Jumbo, Jalan Gadong, 89800 Beaufort, Sabah"
Hazel binti Lasimbang,090605487784,Perempuan,"Lot 33, Tingkat 2, Blok D, Jalan Kota Klias, 89800 Beaufort, Sabah"
Tan Ze Shen,071224127895,Lelaki,"No. 150, Kampung Air, Jalan Padas, 89800 Beaufort, Sabah"
Lim Huey Yee,080811478006,Perempuan,"No. 11, Taman Indah, Jalan Kudat, 89150 Kota Belud, Sabah"
